task_id	task_type	premise_type	premise	hypothesis	label
boilWater-n0c4viyb-autogen_dropped_e	boil water	observation	Robot attempts to move to stove burner. Robot sees nothing is inside robot gripper, mug (empty and clean), mug is on the left of stove knob, mug is on top of first countertop, stove burner beside towel holder, pot is on top of floor.	Robot failed to keep pot in the gripper while moving to stove burner.	E
makeCoffee-ngbqpnai-autogen_action-failed_e	make coffee	observation	Robot attempts to pick up mug. Robot sees nothing is inside robot gripper, pan (clean), pan is on the left of knife, pan is on top of first countertop, pan is on the left of tomato, mug is on the right of Sofa.	The robot failed to perform make coffee because did not pick_up mug	E
boilWater-cwz8powm-autogen_action-failed_e	boil water	observation	Robot attempts to turn off faucet. Robot sees pan (clean), microwave (closed and turned on), faucet (turned on).	Failed to do (toggle_off, Faucet)	E
boilWater-m83w5a61-autogen_wrong_order_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, pick up pot, move to stove burner, put pot on fourth stove burner, turn on second stove burner.	The robot fails because it turn on second stove burner before doing - put pot on fourth stove burner	C
boilWater-qdvlyz50-autogen_missing_e	boil water	observation	Robot attempts to put pot on fourth stove burner. Robot sees nothing is inside robot gripper, fourth stove burner is beside ladle.	The robot can't put pot on fourth stove burner without doing pick up pot before.	E
heatPotato-5_gt_step_43_gt_exp	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, move to plate, put potato on plate, pick up plate, move to microwave.	The robot never opened the microwave, as a result, the plate cannot be put inside the microwave.	N
boilWater-clkpah42-autogen_blocking_c	boil water	observation	Robot attempts to pick up pot. Robot sees nothing is inside robot gripper, pot is on top of sink.	Robot could not pick up pot because sink is blocking pot	C
heatPotato-pilpecvk-autogen_dropped_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave.	dropped plate while moving	N
toastBread-6vu2xbh0-autogen_wrong_order_c	toast bread	plan	To toast bread, robot has this plan - move to knife, pick up knife, move to bread, slice bread.	The robot fails because it slice bread before doing - move to bread	C
boilWater-k3fgiie1-autogen_dropped_c	boil water	observation	Robot attempts to move to sink. Robot sees pot is inside robot gripper, pot is on top of third countertop, pot (empty and clean), pot is on the left of potato, pan is on top of pot, sink on the right of laundry hamper.	dropped pot while moving	C
heatPotato-687jkoso-autogen_action-failed_c	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato.	The robot failed to complete heat potato because it failed to execute (pick_up, Potato)	N
heatPotato-2ejx3xef-autogen_wrong_order_c	heat potato	observation	Robot attempts to put potato on plate. Robot sees microwave (open and turned off), pan (clean), potato is on top of  plate.	The robot fails because it put potato on plate before doing - pick up potato	N
switchDevices-4_gt_step_99_gt_exp	switch devices	plan	To switch devices, robot has this plan - move to floor lamp, toggle off floor lamp, move to laptop, close laptop, pick up laptop, move to tv stand, put laptop on tv stand, move to remote control, pick up remote control, move to floor lamp, toggle on floor lamp.	Wrong plan: floorlamp turned on instead of television	E
makeCoffee-yxdrsbz2-autogen_missing_c	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink.	Robot failed to execute - pick up mug) because it did not do put mug on sink before executing it.	C
makeCoffee-6d1y5rl2-autogen_blocking_c	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug.	mug is being blocked by potato	N
makeCoffee-c76a60df-autogen_missing_c	make coffee	observation	Robot attempts to put mug on sink. Robot sees nothing is inside robot gripper, mug is inside robot gripper, plate (clean), mug is on top of Fridge.	The robot can't put mug on sink without doing pick up mug before.	C
boilWater-pk29rece-autogen_dropped_e	boil water	observation	Robot attempts to move to sink. Robot sees nothing is inside robot gripper, pot is on the left of potato, pan is on top of pot, pot is on top of third countertop, pot (empty and clean), sink beside mug.	pot was dropped by the robot.	E
boilWater-dq59n07i-autogen_action-failed_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet.	The robot failed to complete boil water because it failed to execute (toggle_off, Faucet)	N
boilWater-6f2xev7n-autogen_wrong_order_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet.	Wrong plan - put pot in sink after turn on faucet	C
boilWater-ok66gbx6-autogen_blocking_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, pick up pot.	coffee machine is blocking pot	N
boilWater-zp5dwzwb-autogen_dropped_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink.	dropped pot while moving	N
boilWater-jekww0tc-autogen_action-failed_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot.	The robot failed to perform boil water because it failed to execute (pick_up, Pot).	N
boilWater-b6bx7spl-autogen_dropped_c	boil water	observation	Robot attempts to move to sink. Robot sees pot is inside robot gripper, microwave (closed and turned off), sink on the right of stove burner, pot is on top of floor.	Robot failed to keep pot in the gripper while moving to sink.	C
heatPotato-r2dfnlsx-autogen_wrong_order_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave, put plate on countertop, pick up plate, open microwave.	Wrong plan - open microwave after pick up plate	E
heatPotato-3yzng23c-autogen_blocking_e	heat potato	observation	Robot attempts to pick up plate. Robot sees faucet (turned off), nothing is inside robot gripper, plate is below sink.	sink is blocking plate	E
makeCoffee-6pste7ag-autogen_missing_c	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink.	The robot failed because there is no pick up mug action in the plan before put mug on sink.	C
heatPotato-an7w8qcf-autogen_action-failed_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave, put plate on countertop, turn on microwave, open microwave, pick up plate.	The robot failed to perform heat potato because it failed to execute (pick_up, Plate).	N
heatPotato-10_gt_step_94_gt_exp	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, move to plate, put potato on plate, pick up plate, move to microwave, move to countertop, put plate on first countertop, move to microwave, toggle on microwave, open microwave.	The robot should not toggle on the microwave before trying to open it. as a result, the robot cannot open a microwave that is turned on.	E
makeCoffee-7_gt_step_32_gt_exp	make coffee	observation	Robot attempts to toggle off faucet. Robot sees nothing is inside robot gripper, faucet (turned off).	The robot never executed the action to pour water from mug after cleaning it. as a result, the mug cannot be filled with coffee.	N
boilWater-m00ic0rc-autogen_action-failed_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet.	Failed to do (toggle_off, Faucet)	N
makeCoffee-8_gt_step_30_gt_exp	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to coffee machine, put mug in coffee machine.	The mug is dirty at the beginning of the task execution, and the robot never cleaned the mug.	E
boilWater-eilolg1i-autogen_dropped_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, pick up pot, move to fourth stove burner.	dropped pot while moving	N
makeCoffee-3ift62s5-autogen_dropped_e	make coffee	observation	Robot attempts to move to sink. Robot sees nothing is inside robot gripper, sink on the left of shelf.	Robot failed to keep mug in the gripper while moving to sink.	E
boilWater-pueeeoqu-autogen_wrong_order_e	boil water	observation	Robot attempts to put pot on fourth stove burner. Robot sees mug (filled with water and clean), faucet (turned off), mug is inside sink, bowl is inside sink, mug is on the right of bowl, pot is on top of  fourth stove burner.	The robot fails because it turn on fourth stove burner before doing - put pot on fourth stove burner	N
boilWater-zn44jlz3-autogen_blocking_c	boil water	observation	Robot attempts to pick up pot. Robot sees egg (not sliced and not cracked), nothing is inside robot gripper, egg is on top of pot.	pot is blocking egg	C
boilWater-3rg36pkb-autogen_blocking_c	boil water	observation	Robot attempts to pick up pot. Robot sees pot is inside sink, nothing is inside robot gripper, faucet (turned off), faucet is below pot.	The robot failed to perform (pick_up, Pot) because faucet is blocking pot	C
boilWater-8r5j2taz-autogen_wrong_order_c	boil water	observation	Robot attempts to turn on second stove burner. Robot sees second stove burner (turned on).	Wrong plan - put pot on fourth stove burner after turn on second stove burner	N
boilWater-uuy7alqs-autogen_missing_c	boil water	observation	Robot attempts to put pot on fourth stove burner. Robot sees nothing is inside robot gripper, pot is inside robot gripper, pot is on top of DiningTable.	Robot failed to execute - pick up pot) because it did not do put pot on fourth stove burner before executing it.	C
boilWater-mrorzlxc-autogen_wrong_order_c	boil water	observation	Robot attempts to turn on fourth stove burner. Robot sees mug (filled with water and clean), faucet (turned off), mug is inside sink, bowl is inside sink, mug is on the right of bowl, fourth stove burner (turned on).	The robot fails because it turn on fourth stove burner before doing - put pot on fourth stove burner	N
heatPotato-qrd3rxrg-autogen_dropped_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave.	The robot failed to do heat potato because it dropped plate while moving to microwave	N
heatPotato-ja0w3096-autogen_missing_e	heat potato	observation	Robot attempts to put potato on plate. Robot sees nothing is inside robot gripper, laptop (closed and turned off), laptop is inside armchair, plate is beside microwave.	The robot can't put potato on plate without doing pick up potato before.	E
makeCoffee-xagsjc47-autogen_missing_c	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, turn on faucet, turn off faucet, pick up mug, pour mug into sink, move to coffee machine, put mug in coffee machine, turn on coffee machine, turn off coffee machine, pick up mug, put mug on countertop.	Robot failed to execute - pick up mug) because it did not do put mug on countertop before executing it.	C
boilWater-zn44jlz3-autogen_blocking_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, pick up pot.	pot is blocking egg	N
heatPotato-fbwwdtmn-autogen_dropped_c	heat potato	observation	Robot attempts to move to microwave. Robot sees plate is inside robot gripper, egg (not sliced and not cracked), microwave on the left of toaster.	dropped plate while moving	C
heatPotato-a64cgi7n-autogen_dropped_e	heat potato	observation	Robot attempts to move to microwave. Robot sees nothing is inside robot gripper, microwave is above cup, microwave (open and turned off), microwave on the right of toaster.	The robot failed to do heat potato because it dropped plate while moving to microwave	E
toastBread-t6kjh4la-autogen_missing_e	toast bread	observation	Robot attempts to put knife on second countertop. Robot sees nothing is inside robot gripper, second countertop is beside knife.	Robot failed to execute - pick up knife) because it did not do put knife on second countertop before executing it.	E
heatPotato-dntaxuev-autogen_wrong_order_c	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave, put plate on countertop, turn on microwave, open microwave, pick up plate, put plate in microwave.	The robot fails because it put plate in microwave before doing - pick up plate	C
makeCoffee-40mmfjcq-autogen_wrong_order_c	make coffee	observation	Robot attempts to pour mug into sink. Robot sees fridge (closed), sink (filled with liquid).	Wrong plan - pick up mug after pour mug into sink	N
cookEgg-5_gt_step_61_gt_exp	cook egg	plan	To cook egg, robot has this plan - move to fridge, open fridge, pick up egg, close fridge, move to first stove burner, toggle on first stove burner, move to pan, put egg on second countertop, pick up pan.	The robot mis-identified book as pan, and picked up the book instead of the pan. the book cannot be put on the stove burner.	N
heatPotato-6_gt_step_23_gt_exp	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato.	The robot mis-identified apple as potato, and heated an apple instead of a potato.	N
heatPotato-pymrms6d-autogen_dropped_c	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave.	plate was dropped by the robot.	N
makeCoffee-v2woy66x-autogen_action-failed_c	make coffee	observation	Robot attempts to put mug in coffee machine. Robot sees pan is on the right of kettle, egg is on top of second countertop, pan is on top of first countertop, pan (clean), egg (not sliced and not cracked), mug is inside coffee machine.	Failed to do (put_in, Mug, CoffeeMachine)	C
boilWater-n753ljd2-autogen_wrong_order_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink.	Wrong plan - move to sink after put pot in sink	C
toastBread-lf8jzv2q-autogen_action-failed_e	toast bread	plan	To toast bread, robot has this plan - move to knife, pick up knife, move to bread, slice bread, put knife on second countertop, pick up bread slice, move to toaster, put bread slice in toaster.	Failed to do (put_in, BreadSliced, Toaster)	N
boilWater-fmxe7nbz-autogen_action-failed_c	boil water	observation	Robot attempts to turn off faucet. Robot sees faucet (turned off), faucet (turned off).	Failed to do (toggle_off, Faucet)	C
boilWater-9ooobks6-autogen_wrong_order_e	boil water	observation	Robot attempts to turn off faucet. Robot sees faucet (turned off).	The robot fails because it pick up pot before doing - turn off faucet	N
heatPotato-iatponys-autogen_dropped_e	heat potato	observation	Robot attempts to move to microwave. Robot sees nothing is inside robot gripper, microwave beside paintinghanger.	The robot failed to do heat potato because it dropped plate while moving to microwave	E
heatPotato-an7w8qcf-autogen_action-failed_e	heat potato	observation	Robot attempts to pick up plate. Robot sees nothing is inside robot gripper, potato is on top of first countertop, potato is on top of pan, pan is on top of first countertop, pan (clean), plate is below SinkBasin.	The robot failed to perform heat potato because it failed to execute (pick_up, Plate).	E
makeCoffee-2ib7j3xv-autogen_blocking_c	make coffee	observation	Robot attempts to pick up mug. Robot sees nothing is inside robot gripper, faucet (turned off), sink is on top of mug.	Robot could not pick up sink because mug is blocking sink	C
makeCoffee-y5b5u1zf-autogen_action-failed_c	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, turn on faucet, turn off faucet, pick up mug, pour mug into sink, move to coffee machine, put mug in coffee machine.	Failed to do (put_in, Mug, CoffeeMachine)	N
toastBread-sjbi962s-autogen_wrong_order_e	toast bread	observation	Robot attempts to put bread slice in toaster. Robot sees egg (not sliced and not cracked), egg is on top of first countertop, egg is below microwave, bread slice is inside toaster.	The robot fails because it turn on toaster before doing - put bread slice in toaster	N
switchDevices-7_gt_step_41_gt_exp	switch devices	observation	Robot attempts to put laptop on tv stand. Robot sees nothing is inside robot gripper, laptop (open and turned off), laptop is on the left of keychain, laptop is on the right of book, laptop is on top of tv stand, television is on top of tv stand, tv stand is on the left of garbage can, watch is on top of tv stand, keychain is on top of tv stand, book is on top of tv stand.	Missing step of close laptop	E
heatPotato-9s42v6yz-autogen_wrong_order_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave, put plate on countertop, pick up plate, open microwave.	Wrong plan - open microwave after pick up plate	E
boilWater-xff1e98a-autogen_action-failed_e	boil water	observation	Robot attempts to put pot in sink. Robot sees nothing is inside robot gripper, faucet (turned off), pot is on top of mug.	The robot failed to complete boil water because it failed to execute (put_in, Pot, Sink)	E
waterPlant-4_gt_step_28_gt_exp	water plant	plan	To water plant, robot has this plan - move to pot, pick up pot, move to sink, toggle on faucet, toggle off faucet.	Wrong order - faucet is turned on and off before pot is put in the sink	E
makeCoffee-46f7r4jf-autogen_action-failed_e	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, turn on faucet, turn off faucet, pick up mug, pour mug into sink, move to coffee machine, put mug in coffee machine, turn on coffee machine, turn off coffee machine.	The robot failed to perform make coffee because it failed to execute (toggle_off, CoffeeMachine).	N
boilWater-lrs7xm5b-autogen_dropped_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink.	pot was dropped by the robot.	N
makeCoffee-876b0zxz-autogen_wrong_order_e	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, turn on faucet, put mug on sink.	The robot fails because it turn on faucet before doing - put mug on sink	E
heatPotato-molj5pto-autogen_wrong_order_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave, turn on microwave, put plate on countertop.	The robot fails because it turn on microwave before doing - put plate on countertop	E
boilWater-ltarp7or-autogen_action-failed_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, pick up pot.	The robot failed to perform boil water because did not pick_up pot	N
boilWater-hvhqdp8h-autogen_wrong_order_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, pick up pot, move to stove burner, turn on second stove burner, put pot on fourth stove burner.	The robot fails because it turn on second stove burner before doing - put pot on fourth stove burner	E
toastBread-fqwrhazw-autogen_action-failed_c	toast bread	plan	To toast bread, robot has this plan - move to knife, pick up knife.	The robot failed to perform toast bread because it failed to execute (pick_up, Knife).	N
heatPotato-iroem9bf-autogen_wrong_order_c	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave, put plate on countertop, open microwave, pick up plate, put plate in microwave.	The robot fails because it put plate in microwave before doing - pick up plate	C
makeCoffee-32hh0ow0-autogen_dropped_c	make coffee	observation	Robot attempts to move to sink. Robot sees mug is inside robot gripper, pan (clean), potato is on top of first countertop, potato is on top of pan, pan is on top of first countertop, sink beside pot.	dropped mug while moving	C
makeCoffee-ypf9t4p2-autogen_wrong_order_e	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, turn on faucet, turn off faucet, pick up mug, move to coffee machine, pour mug into sink.	The robot fails because it move to coffee machine before doing - pour mug into sink	E
boilWater-pueeeoqu-autogen_wrong_order_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, pick up pot, move to fourth stove burner, turn on fourth stove burner, put pot on fourth stove burner.	The robot fails because it turn on fourth stove burner before doing - put pot on fourth stove burner	E
boilWater-v3n3t03d-autogen_dropped_c	boil water	observation	Robot attempts to move to sink. Robot sees pot is inside robot gripper, microwave (closed and turned off), sink on the left of bowl.	pot was dropped by the robot.	C
heatPotato-6vax4dgt-autogen_blocking_e	heat potato	observation	Robot attempts to pick up plate. Robot sees television is on top of tv stand, laptop is on top of tv stand, nothing is inside robot gripper, television (turned off), laptop (closed and turned off), television is on top of plate.	The robot failed to perform (pick_up, Plate) because television is blocking plate	E
boilWater-b524jxd3-autogen_blocking_c	boil water	observation	Robot attempts to pick up pot. Robot sees nothing is inside robot gripper, coffee machine is below pot.	pot is being blocked by coffee machine	C
waterPlant-9_gt_step_36_reflect_exp	water plant	plan	To water plant, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, toggle on faucet, toggle off faucet, pick up pot, move to house plant.	The robot failed to water the plant at 00:39 because it attempted to pour liquid from an empty pot into the house plant. the failure was caused by not refilling the pot with water after picking it up at 00:34.	N
boilWater-meymg3in-autogen_missing_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, pick up pot, move to stove burner, put pot on fourth stove burner.	Robot failed to execute - pick up pot) because it did not do put pot on fourth stove burner before executing it.	C
cookEgg-5_gt_step_61_gt_exp	cook egg	observation	Robot attempts to pick up pan. Robot sees book is inside robot gripper, pan (clean), pan is on the right of kettle, pan is on top of first countertop.	The robot mis-identified book as pan, and picked up the book instead of the pan. the book cannot be put on the stove burner.	E
makeCoffee-7_gt_step_47_gt_exp	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, toggle on faucet, toggle off faucet, pick up mug, move to coffee machine, put mug in coffee machine.	The robot never executed the action to pour water from mug after cleaning it. as a result, the mug cannot be filled with coffee.	E
toastBread-csyply75-autogen_missing_c	toast bread	plan	To toast bread, robot has this plan - move to knife, pick up knife, move to bread, slice bread, put knife on second countertop.	The robot failed because the step of pick up knife is missing before put knife on second countertop	C
boilWater-jljkva7s-autogen_missing_e	boil water	observation	Robot attempts to put pot on fourth stove burner. Robot sees nothing is inside robot gripper, faucet (turned on), pot is inside sink, fourth stove burner is on the left of spray bottle.	Robot failed to execute - pick up pot) because it did not do put pot on fourth stove burner before executing it.	E
toastBread-h2tkd2li-autogen_dropped_c	toast bread	observation	Robot attempts to move to toaster. Robot sees bread slice is inside robot gripper, egg (not sliced and not cracked), egg is on top of first countertop, egg is below microwave, toaster on the right of plate.	dropped bread slice while moving	C
heatPotato-00kovj1c-autogen_blocking_c	heat potato	observation	Robot attempts to pick up plate. Robot sees nothing is inside robot gripper, laptop (closed and turned off), laptop is inside armchair, laptop is on top of plate.	plate is blocking laptop	C
